BCCvolume_pa_difference,BCCefflatcnt_max_value,BCCefflatcnt_difference,BCCvolume_pa_max_value,n_ws^third_difference,CovalentRadius_difference,ICSDVolume_max_value,AtomicRadii_difference,AtomicRadii_max_value,CovalentRadius_max_value,ICSDVolume_difference,valence_max_value,MendeleevNumber_arithmetic_average,NdUnfilled_arithmetic_average,GSenergy_pa_max_value,BCCenergy_pa_max_value,GSenergy_pa_min_value,valence_arithmetic_average,BCCfermi_arithmetic_average,BCCenergy_pa_min_value,valence_composition_average,ElasticModulus_difference,BCCfermi_composition_average,MendeleevNumber_composition_average,n_ws^third_arithmetic_average
81.31,11.23526301,6.340391241000002,88.64,0.7899999999999999,154.0,93.0,1.75,2.48,220.0,76.4,4.0,54.66666666666666,0.0,-0.963335025,-0.96193707,-0.963335025,3.0,3.6428301866666666,-0.96193707,2.6,68.5,3.4151115119999997,67.60000000000001,0.6633333333333333
81.31,11.23526301,6.340391241000002,88.64,0.7100000000000001,154.0,93.0,1.75,2.48,220.0,75.7,4.0,55.0,0.0,-0.963335025,-0.96193707,-0.963335025,3.0,2.3714246233333336,-0.96193707,2.6,9.0,2.652268174,67.80000000000001,0.6366666666666667
81.31,11.23526301,6.340391241000002,88.64,0.57,154.0,93.0,1.75,2.48,220.0,75.7,4.0,55.33333333333333,0.0,-0.963335025,-0.96193707,-0.963335025,3.0,3.8542282566666666,-0.96193707,2.6,12.0,3.541950354,68.0,0.59
81.31,11.23526301,6.340391241000002,88.64,0.7700000000000001,154.0,93.0,1.75,2.48,220.0,75.7,4.0,56.66666666666666,0.0,-0.963335025,-0.96193707,-0.963335025,3.333333333333333,2.5148199,-0.96193707,2.8,113.0,2.73830534,68.80000000000001,0.6566666666666667
81.31,11.23526301,6.340391241000002,88.64,0.64,154.0,93.0,1.75,2.48,220.0,75.7,4.0,57.0,0.0,-0.963335025,-0.96193707,-0.963335025,3.333333333333333,4.0716548066666665,-0.96193707,2.8,48.0,3.6724062839999996,69.0,0.6133333333333333
81.31,11.23526301,6.340391241000002,88.64,0.66,154.0,93.0,1.75,2.48,220.0,75.7,5.0,58.66666666666666,0.0,-0.963335025,-0.96193707,-0.963335025,3.6666666666666665,3.8511929866666663,-0.96193707,3.0,65.0,3.5401291919999998,70.0,0.62
110.7,12.36054054,7.465668771000002,118.03,0.72,178.0,67.5,1.94,2.67,244.0,50.2,3.0,34.333333333333336,3.0,-0.85462646,-0.85260163,-0.85462646,2.0,2.66771539,-0.85260163,2.0,78.2,2.830042634,55.40000000000001,0.6066666666666667
110.7,12.36054054,7.465668771000002,118.03,0.97,178.0,67.5,1.94,2.67,244.0,50.2,4.0,45.0,2.6666666666666665,-0.85462646,-0.85260163,-0.85462646,2.333333333333333,2.175832026666667,-0.85260163,2.2,108.2,2.5349126159999997,61.8,0.6900000000000001
110.7,12.36054054,7.465668771000002,118.03,0.8599999999999999,178.0,67.5,1.94,2.67,244.0,50.2,4.0,45.33333333333333,2.6666666666666665,-0.85462646,-0.85260163,-0.85462646,2.333333333333333,2.5931319266666666,-0.85260163,2.2,92.2,2.7852925560000004,62.0,0.6533333333333333
110.7,12.36054054,7.465668771000002,118.03,0.8999999999999999,178.0,67.5,1.94,2.67,244.0,50.2,4.0,45.66666666666667,2.6666666666666665,-0.85462646,-0.85260163,-0.85462646,2.333333333333333,2.7613385666666668,-0.85260163,2.2,137.2,2.88621654,62.2,0.6666666666666667
110.7,12.36054054,7.465668771000002,118.03,1.09,178.0,67.5,1.94,2.67,244.0,53.7,5.0,46.0,2.333333333333333,-0.85462646,-0.85260163,-0.85462646,2.6666666666666665,3.335455703333333,-0.85260163,2.4,127.2,3.230686822,62.40000000000001,0.73
110.7,12.36054054,7.465668771000002,118.03,1.09,178.0,67.5,1.94,2.67,244.0,50.2,5.0,46.33333333333333,2.0,-0.85462646,-0.85260163,-0.85462646,2.6666666666666665,2.8177223999999996,-0.85260163,2.4,102.2,2.92004684,62.6,0.73
110.7,12.36054054,7.465668771000002,118.03,1.0799999999999998,178.0,67.5,1.94,2.67,244.0,50.2,5.0,46.66666666666667,2.333333333333333,-0.85462646,-0.85260163,-0.85462646,2.6666666666666665,2.9958628933333333,-0.85260163,2.4,181.2,3.0269311360000004,62.8,0.7266666666666667
110.7,12.36054054,7.465668771000002,118.03,1.18,178.0,67.5,1.94,2.67,244.0,55.5,6.0,47.0,1.6666666666666667,-0.85462646,-0.85260163,-0.85462646,3.0,3.8427959333333335,-0.85260163,2.6,257.2,3.53509096,63.0,0.76
110.7,12.36054054,7.465668771000002,118.03,1.22,178.0,67.5,1.94,2.67,244.0,52.0,6.0,47.33333333333334,1.6666666666666667,-0.85462646,-0.85260163,-0.85462646,3.0,4.062780996666667,-0.85260163,2.6,320.2,3.667081998,63.2,0.7733333333333333
110.7,12.36054054,7.465668771000002,118.03,1.26,178.0,67.5,1.94,2.67,244.0,51.7,6.0,47.66666666666667,2.0,-0.85462646,-0.85260163,-0.85462646,3.0,3.643607213333333,-0.85260163,2.6,399.2,3.415577728,63.40000000000001,0.7866666666666667
110.7,12.36054054,7.465668771000002,118.03,1.06,178.0,67.5,1.94,2.67,244.0,55.3,7.0,48.0,1.6666666666666667,-0.85462646,-0.85260163,-0.85462646,3.333333333333333,3.708762603333333,-0.85260163,2.8,196.2,3.454670962,63.6,0.7200000000000001
110.7,12.36054054,7.465668771000002,118.03,1.3,178.0,67.5,1.94,2.67,244.0,52.8,7.0,48.66666666666667,1.6666666666666667,-0.85462646,-0.85260163,-0.85462646,3.333333333333333,4.099347526666667,-0.85260163,2.8,459.2,3.689021916,64.0,0.8
110.7,12.36054054,7.465668771000002,118.03,1.22,178.0,67.5,1.94,2.67,244.0,55.8,6.0,49.0,1.3333333333333333,-0.85462646,-0.85260163,-0.85462646,3.0,3.33427952,-0.85260163,2.6,209.2,3.229981112,64.2,0.7733333333333333
110.7,12.36054054,7.465668771000002,118.03,0.8399999999999999,178.0,67.5,1.94,2.67,244.0,50.9,3.0,55.0,0.0,-0.85462646,-0.85260163,-0.85462646,2.0,3.771806183333333,-0.85260163,2.0,68.7,3.49249711,67.8,0.6466666666666667
110.7,12.36054054,7.465668771000002,118.03,0.76,178.0,67.5,1.94,2.67,244.0,50.2,3.0,55.33333333333334,0.0,-0.85462646,-0.85260163,-0.85462646,2.0,2.50040062,-0.85260163,2.0,9.2,2.729653772,68.0,0.6200000000000001
110.7,12.36054054,7.465668771000002,118.03,0.6199999999999999,178.0,67.5,1.94,2.67,244.0,50.2,3.0,55.66666666666667,0.0,-0.85462646,-0.85260163,-0.85462646,2.0,3.983204253333333,-0.85260163,2.0,12.2,3.6193359519999997,68.2,0.5733333333333333
110.7,12.36054054,7.465668771000002,118.03,0.8200000000000001,178.0,67.5,1.94,2.67,244.0,50.2,4.0,57.0,0.0,-0.85462646,-0.85260163,-0.85462646,2.333333333333333,2.643795896666666,-0.85260163,2.2,113.2,2.815690938,69.0,0.6400000000000001
110.7,12.36054054,7.465668771000002,118.03,0.69,178.0,67.5,1.94,2.67,244.0,50.2,4.0,57.33333333333334,0.0,-0.85462646,-0.85260163,-0.85462646,2.333333333333333,4.2006308033333335,-0.85260163,2.2,48.2,3.749791882,69.2,0.5966666666666667
110.7,12.36054054,7.465668771000002,118.03,0.71,178.0,67.5,1.94,2.67,244.0,50.2,5.0,59.0,0.0,-0.85462646,-0.85260163,-0.85462646,2.6666666666666665,3.980168983333333,-0.85260163,2.4,65.2,3.61751479,70.2,0.6033333333333333
